group,team,predicted_points,rank,advances,fifa_rank
A,Mexico,6.17,1,True,15
A,South Korea,5.68,2,True,25
A,Czechia,3.27,3,False,41
A,South Africa,2.22,4,False,60
B,Switzerland,6.13,1,True,19
B,Canada,4.95,2,True,30
B,Qatar,4.42,3,False,35
B,Bosnia and Herzegovina,1.78,4,False,52
C,Brazil,7.18,1,True,6
C,Morocco,6.62,2,True,8
C,Scotland,2.98,3,False,47
C,Haiti,0.82,4,False,83
D,USA,6.22,1,True,16
D,Australia,5.45,2,True,26
D,Türkiye,3.96,3,False,42
D,Paraguay,1.72,4,False,64
E,Germany,7.15,1,True,10
E,Ecuador,5.22,2,True,24
E,Ivory Coast,4.41,3,False,33
E,Curaçao,0.71,4,False,81
F,Netherlands,6.44,1,True,7
F,Japan,6.02,2,True,18
F,Tunisia,2.64,3,False,40
F,Sweden,2.23,4,False,39
G,Belgium,6.47,1,True,9
G,Iran,5.56,2,True,21
G,Egypt,4.87,3,False,29
G,New Zealand,0.43,4,False,95
H,Spain,7.01,1,True,2
H,Uruguay,6.34,2,True,17
H,Saudi Arabia,2.54,3,False,57
H,Cape Verde,1.54,4,False,70
I,France,7.18,1,True,1
I,Senegal,5.99,2,True,14
I,Norway,2.86,3,False,44
I,Iraq,1.47,4,False,61
J,Argentina,7.17,1,True,3
J,Austria,5.02,2,True,23
J,Algeria,4.12,3,False,36
J,Jordan,1.2,4,False,68
K,Portugal,6.8,1,True,5
K,Colombia,6.34,2,True,13
K,DR Congo,2.57,3,False,51
K,Uzbekistan,1.68,4,False,62
L,Croatia,6.74,1,True,11
L,England,6.44,2,True,4
L,Panama,2.59,3,False,53
L,Ghana,1.62,4,False,65
