stage,team1,team2,p_team1_win,p_team2_win,predicted_winner
Round of 32,Mexico,Canada,59.9,40.1,Mexico
Round of 32,Switzerland,South Korea,59.2,40.8,Switzerland
Round of 32,Brazil,Australia,79.3,20.7,Brazil
Round of 32,USA,Morocco,40.9,59.1,Morocco
Round of 32,Germany,Japan,49.5,50.5,Japan
Round of 32,Netherlands,Ecuador,70.7,29.3,Netherlands
Round of 32,Belgium,Uruguay,56.8,43.2,Belgium
Round of 32,Spain,Iran,64.3,35.7,Spain
Round of 32,France,Austria,81.2,18.8,France
Round of 32,Argentina,Senegal,60.1,39.9,Argentina
Round of 32,Portugal,England,47.7,52.3,England
Round of 32,Croatia,Colombia,51.4,48.6,Croatia
Round of 16,Mexico,Switzerland,47.4,52.6,Switzerland
Round of 16,Brazil,Morocco,65.3,34.7,Brazil
Round of 16,Japan,Netherlands,44.6,55.4,Netherlands
Round of 16,Belgium,Spain,46.7,53.3,Spain
Round of 16,France,Argentina,61.7,38.3,France
Round of 16,England,Croatia,43.4,56.6,Croatia
Round of 16,Egypt,Qatar,56.9,43.1,Egypt
Round of 16,Ivory Coast,Algeria,53.4,46.6,Ivory Coast
Quarter-final,Switzerland,Brazil,28.4,71.6,Brazil
Quarter-final,Netherlands,Spain,53.8,46.2,Netherlands
Quarter-final,France,Croatia,74.5,25.5,France
Quarter-final,Egypt,Ivory Coast,54.6,45.4,Egypt
Semi-final,Brazil,Netherlands,52.5,47.5,Brazil
Semi-final,France,Egypt,82.9,17.1,France
3rd Place,Netherlands,Egypt,75.2,24.8,Netherlands
Final,Brazil,France,42.8,57.2,France
